internal_key	short	english	swedish	darwin_core	comments
Alkalinity (mmol/kg)	ALKY	Alkalinity (mmol/kg)	Alkalinitet (mmol/kg)		Hyd
Alkalinity_2 (mmol/l)	ALKY_2	Alkalinity_2 (mmol/l)	Alkalinitet_2 (mmol/l)		Hyd
Aluminium (ug/l)	AL	Aluminium (ug/l)	Aluminium (ug/l)		Hyd
Ammonium NH4-N (umol/l)	AMON	Ammonium NH4-N (umol/l)	Ammoniumkväve NH4-N (umol/l)		Hyd
analysed_by	ANA_RESP	Analysed by	Analysansvarig	AnalysedBy	Bio
analysis_date	ANADATE	Analysis date	Analysdatum	AnalysisDate	Bio
matrix_analysed_code	MATRX	Analysed matrix	Analyserad matris	MatrixAnalysedCode	Bio
analysed_volume_cm3	ANAVOL	Analysed volume (cm3)	Analyserad volym (cm3)	AnalysedVolume	Bio
transect_interpretation_time	TRANS_INTERPRET_TIME	Analysed film (MM:SS)	Analyserat filmmaterial (MM:SS)		Bio
analytical_laboratory_code	ALABO	Analytical laboratory	Analyslaboratorium	AnalyticalLaboratory	Bio/Hyd
analytical_laboratory_name_sv	ALABO	Analytical laboratory	Analyslaboratorium	AnalyticalLaboratory	Bio
analytical_laboratory_accreditated	ACKR_ANA	Analytical laboratory accreditated	Analyslaboratorium ackrediterat		Bio
analysis_method_code	METOA	Method of analysis (code)	Analysmetod (kod)	MethodOfAnalysisCode	Bio
analysis_method_reference_code	REFSK_ANA	Method of analysis reference (code)	Analysmetod referens (kod)		Hyd
aggregated_subsamples	NOAGG	Number of aggregated subsamples	Antal aggregerade delprov	AggregatedSubsamples	Bio
number_of_portions	NPORT	Number of portions	Antal delprov	NumberOfPortions	Bio
counted_rows	ROWCOUNT	Counted rows in database	Antal räknade rader i databasen		Bio/Hyd
taxon_species	SPECIES	Species	Art	TaxonSpecies	Bio
species_flag_code	SFLAG	Species flag	Art-flagga	SpeciesFlag	Bio
section_distance_end_m	SECT_DISTS_END	Section end distance (m)	Avsnittets slutavstånd (m)	SectionDistanceEnd	Bio
section_end_depth_m	SECT_DEP_END	Section end depth	Avsnittets slutdjup (m)	SectionEndDepth	Bio
section_end_latitude_dd	SEC_LAT_END_DD	Section end latitude  (DD)	Avsnittets slutlatitud (DD)		Bio
section_end_longitude_dd	SEC_LON_END_DD	Section end longitude (DD)	Avsnittets slutlongitud (DD)		Bio
section_distance_start_m	SECT_DISTS_START	Section start distance (m)	Avsnittets startavstånd (m)	SectionDistanceStart	Bio
section_start_depth_m	SECT_DEP_START	Section start depth	Avsnittets startdjup (m)	SectionStartDepth	Bio
section_start_latitude_dd	SEC_LAT_START_DD	Section start latitude (DD)	Avsnittets startlatitud (DD)		Bio
section_start_longitude_dd	SEC_LON_START_DD	Section start longitude (DD)	Avsnittets startlongitud (DD)		Bio
section_id	SECT_ID	Section identifier	Avsnitts-ID	SectionId	Bio
section_comment	COMNT_SECT	Section comment	Avsnittskommentar	SectionComment	Bio
coefficient	COEFF	Coefficient for calculation	Beräkningskoefficient	Coefficient	Bio
calculation_method	CLMET	Calculation method (code)	Beräkningsmetod (kod)	CalculationMethod	Bio
method_calculation_uncertainty	METCU	Calculation uncertainty method (code)	Beräkningsosäkerhetsmetod (kod)		Bio/Hyd
sample_orderer_name_sv	ORDERER	Orderer	Beställare		
visit_id	VISITID	Visit event identifier	Besöks-ID	VisitId	Bio
visit_comment	COMNT_VISIT	Sampling event comment	Besökskommentar	VisitComment	Bio/Hyd
