station_name	official_name
409 ÅLBORG BUGT	
441 STEVNS KLINT	
925 KATTEGAT  SW	
A13	F9 / A13
A5	
ANHOLT E	ANHOLT E
B1	B1
B1-V	B1
B3	NB1 / B3
B7	B7
BCS  III-10	BCS III-10
BO3/A3	
BY1	
BY10	
BY11	
BY13	
BY15 EXTRA DJUPSERIE	BY15 GOTLANDSDJ
BY15 GOTLANDSDJ	BY15 GOTLANDSDJ
BY19	
BY2 ARKONA	BY2 ARKONA
BY20 FÅRÖDJUPET	
BY21	
BY27	
BY28	
BY29	BY29 / LL19
BY29/LL19	BY29 / LL19
BY3 HAMRARNE SUND	
BY30	
BY31	BY31 LANDSORTSDJ
BY31 EXTRA	BY31 LANDSORTSDJ
BY31 LANDSORTSDJ	BY31 LANDSORTSDJ
BY32 EXTRA	
BY32 NORRKÖPING	
BY36	
BY38 KARLSÖDJ	BY38 KARLSÖDJ
BY39 ÖLANDS SÖDRA	
BY4 CHRISTIANSÖ	
BY5 BORNHOLMSDJ	BY5 BORNHOLMSDJ
BY7 STOLPE RÄNNA	
BY9 KLAIPEDA	
C14	
C24	SR3
C3	C3
F13/A19	
F16	
F18 SYDOSTBROTT/B5	
F26/C15	
F3 / A5	
F3/A5	
F33 GRUNDKALLEN/D2	
F64 SOLOVJEVA	
F9/A13	F9 / A13
FLADEN	
FLINTEN 7	
GA1	GAVIK-1
GAMLEBY1	
GF6	
GF8	
GF9	
H2	
H3	
H4	H4
H5	
H6	
HANÖBUKTEN	
HANÖBUKTEN KBV	
HUVUDSKÄR	
K11-MV	
K15-MV	
K3-V	
KULLEN	
L:A MIDDELGRUND	
L9	
L9 LAHOLMSBUKTEN	
LAHOLM-3 (YG)	
LÄSÖ RÄNNA	
M1-V	
M3-V	
MB210_VMFS	
MB24-V	
MB2-V	
MS2/C13	
MS4/C14	
MS6	
N14 FALKENBERG	N14 FALKENBERG
NA	
NORRA RANDEN	
NR	
O1-V	
O3-V	
OKG1-V	
OKG2-V	
OKG3-V	
P2	
PL-P1	
PL-P63	
RA1	RÅNEÅ-1
RA2	RÅNEÅ-2
REF M1V1	REF M1V1
REF V2	
REF V2-V	
RR1/A8	
RR5	
RR7	
SLÄGGÖ	SLÄGGÖ
SR1A/C11	
SR3/C24	SR3
SR5/LL4	
SR8	
SS29	
ST MIDDELGRUND	
STOLPE TRÖSKEL	
TRÖSKELN ÅLANDS H	
UNDERSTEN	
US2 ULVÖDJUPET/C5	
US5B/C1	
US7	
V1-V	
V22-V	
V3-V	
V6-VMS	
VÅGBOJ KNOLLS GRUND	
W LANDSKRONA	
YTTRE LAHOLMSBUKTEN	
Å13	
Å14	
Å15	
Å16	
Å17	Å17
ÖRESUND-2	
ÖRESUND-4	
ÖRESUND-7	
ÖSTERGARNSHOLM	
